Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G084930.0, HORVU.MOREX.r3.2HG0177670.0, 105, 25607

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G098020.0, HORVU.MOREX.r3.2HG0189960.0, 105, 19810

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G067610.0, HORVU.MOREX.r3.2HG0160480.0, 105, 2918

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G102920.0, HORVU.MOREX.r3.2HG0194560.0, 105, 3350

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G066510.0, HORVU.MOREX.r3.2HG0159310.0, 105, 10842

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G113310.0, HORVU.MOREX.r3.2HG0204280.0, 105, 236

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G104110.0, HORVU.MOREX.r3.2HG0195580.0, 105, 3865

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G079790.0, HORVU.MOREX.r3.2HG0172690.0, 105, 4457

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G064770.0, HORVU.MOREX.r3.2HG0157890.0, 105, 6565

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G068530.0, HORVU.MOREX.r3.2HG0161310.0, 105, 3930

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G068090.0, HORVU.MOREX.r3.2HG0160870.0, 105, 3760

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G088840.0, HORVU.MOREX.r3.2HG0181390.0, 105, 3648
HORVU2Hr1G088840.0, HORVU.MOREX.r3.2HG0181380.0, 105, 2611

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G091800.0, HORVU.MOREX.r3.2HG0184260.0, 105, 2796

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G122490.0, HORVU.MOREX.r3.2HG0212970.0, 105, 1006

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G104410.0, HORVU.MOREX.r3.2HG0195900.0, 105, 1538

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G080450.0, HORVU.MOREX.r3.2HG0173390.0, 105, 1341

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G117540.0, HORVU.MOREX.r3.2HG0208100.0, 105, 4088

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G105890.0, HORVU.MOREX.r3.2HG0197110.0, 105, 1683

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G095070.0, HORVU.MOREX.r3.2HG0187170.0, 105, 2756

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G122310.0, HORVU.MOREX.r3.2HG0212880.0, 105, 2831

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G106940.0, HORVU.MOREX.r3.2HG0198100.0, 105, 3923

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G113070.0, HORVU.MOREX.r3.2HG0204080.0, 105, 1379

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G126130.0, HORVU.MOREX.r3.2HG0216600.0, 105, 2162

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G121110.0, HORVU.MOREX.r3.2HG0211760.0, 105, 3244
HORVU2Hr1G121110.0, HORVU.MOREX.r3.2HG0211750.0, 105, 7584

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G004230.0, HORVU.MOREX.r3.2HG0099170.0, 105, 1574

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G118690.0, HORVU.MOREX.r3.2HG0209150.0, 105, 3833

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G114440.0, HORVU.MOREX.r3.2HG0205290.0, 105, 1713

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G079610.0, HORVU.MOREX.r3.2HG0172550.0, 105, 7217

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G115690.0, HORVU.MOREX.r3.2HG0206560.0, 105, 7362
HORVU2Hr1G115690.0, HORVU.MOREX.r3.2HG0206550.0, 105, 3529

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G088940.0, HORVU.MOREX.r3.2HG0181470.0, 105, 5696

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G001400.0, HORVU.MOREX.r3.2HG0096500.0, 105, 2772

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G075870.0, HORVU.MOREX.r3.2HG0169030.0, 105, 8115

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G126100.0, HORVU.MOREX.r3.2HG0216610.0, 105, 3800

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G097890.0, HORVU.MOREX.r3.2HG0189840.0, 105, 5432

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G122270.0, HORVU.MOREX.r3.2HG0212850.0, 105, 1353

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G084500.0, HORVU.MOREX.r3.2HG0177240.0, 105, 3244

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G090830.0, HORVU.MOREX.r3.2HG0183520.0, 105, 2843

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G089020.0, HORVU.MOREX.r3.2HG0181540.0, 105, 3706
HORVU2Hr1G089020.0, HORVU.MOREX.r3.2HG0181530.0, 105, 2361

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G109750.0, HORVU.MOREX.r3.2HG0201110.0, 105, 3208
HORVU2Hr1G109750.0, HORVU.MOREX.r3.2HG0201100.0, 105, 2755

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G112280.0, HORVU.MOREX.r3.2HG0203350.0, 105, 4373

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G089270.0, HORVU.MOREX.r3.2HG0181840.0, 105, 1262

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G064950.0, HORVU.MOREX.r3.2HG0158080.0, 105, 2192
HORVU2Hr1G064950.0, HORVU.MOREX.r3.2HG0158070.0, 105, 4073

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G099480.0, HORVU.MOREX.r3.2HG0191390.0, 105, 4864

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G058900.0, HORVU.MOREX.r3.2HG0151770.0, 105, 4272

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G090240.0, HORVU.MOREX.r3.2HG0182770.0, 105, 2039

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G084780.0, HORVU.MOREX.r3.2HG0177560.0, 105, 1024

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G127720.0, HORVU.MOREX.r3.2HG0218010.0, 105, 4120

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G120010.0, HORVU.MOREX.r3.2HG0210480.0, 105, 1543

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G118780.0, HORVU.MOREX.r3.2HG0209210.0, 105, 4886

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G092690.0, HORVU.MOREX.r3.2HG0185090.0, 105, 6245

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G060770.0, HORVU.MOREX.r3.2HG0153860.0, 105, 2291
HORVU2Hr1G060770.0, HORVU.MOREX.r3.2HG0153850.0, 105, 2113

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G092180.0, HORVU.MOREX.r3.2HG0184630.0, 105, 4470

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G072850.0, HORVU.MOREX.r3.2HG0166260.0, 105, 5322

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G081740.0, HORVU.MOREX.r3.2HG0174570.0, 105, 5015

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G119070.0, HORVU.MOREX.r3.2HG0209450.0, 105, 5523

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G081360.0, HORVU.MOREX.r3.2HG0174160.0, 105, 9127

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G112090.0, HORVU.MOREX.r3.2HG0203170.0, 105, 2900
HORVU2Hr1G112090.0, HORVU.MOREX.r3.2HG0203160.0, 105, 245

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G112080.0, HORVU.MOREX.r3.2HG0203150.0, 105, 2688

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G065270.0, HORVU.MOREX.r3.2HG0158350.0, 105, 53914

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G071570.0, HORVU.MOREX.r3.2HG0164700.0, 105, 5209

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G004730.0, HORVU.MOREX.r3.2HG0099660.0, 105, 1739
HORVU2Hr1G004730.0, HORVU.MOREX.r3.2HG0099650.0, 105, 17774
HORVU2Hr1G004730.0, HORVU.MOREX.r3.2HG0099640.0, 105, 1002

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G099540.0, HORVU.MOREX.r3.2HG0191420.0, 105, 4442

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G082150.0, HORVU.MOREX.r3.2HG0174990.0, 105, 5520

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G111160.0, HORVU.MOREX.r3.2HG0202290.0, 105, 8732

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G108110.0, HORVU.MOREX.r3.2HG0199260.0, 105, 2583
HORVU2Hr1G108110.0, HORVU.MOREX.r3.2HG0199250.0, 105, 903
HORVU2Hr1G108110.0, HORVU.MOREX.r3.2HG0199290.0, 105, 1086
HORVU2Hr1G108110.0, HORVU.MOREX.r3.2HG0199210.0, 105, 1518

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G075970.0, HORVU.MOREX.r3.2HG0169250.0, 105, 5631

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G085030.0, HORVU.MOREX.r3.2HG0177780.0, 105, 7109

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G071980.0, HORVU.MOREX.r3.2HG0165160.0, 105, 8784

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G069270.0, HORVU.MOREX.r3.2HG0162010.0, 105, 197
HORVU2Hr1G069270.0, HORVU.MOREX.r3.2HG0162000.0, 105, 309
HORVU2Hr1G069270.0, HORVU.MOREX.r3.2HG0162030.0, 105, 316
HORVU2Hr1G069270.0, HORVU.MOREX.r3.2HG0161990.0, 105, 263

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G057670.0, HORVU.MOREX.r3.2HG0150530.0, 105, 2930
HORVU2Hr1G057670.0, HORVU.MOREX.r3.2HG0150520.0, 105, 1428

Old stable ID, New stable ID, Release, Mapping score
HORVU2Hr1G066820.0, HORVU.MOREX.r3.2HG0159580.0, 105, 6533

Old stable ID, New stable ID, Release, Mapping score
